TimeStamp;Over240P3;Over240P2;Over240P1;1VStepsP3;1VStepsP2;1VStepsP1
2017-04-11 22:10:40.490;;;;Down;Down;Down
2017-04-11 22:36:43.068;;;;Up;Up;Up
2017-04-12 00:54:07.220;;;;Down;Down;Down
2017-04-12 05:57:07.863;;;;Up;Up;Up
2017-04-12 06:02:37.033;;;;Up;;Up
2017-04-12 06:41:47.560;;;;Down;Down;Down
2017-04-12 06:43:30.966;;;;Down;Down;Down
2017-04-12 06:59:01.936;;;;Down;Down;Down
2017-04-12 07:35:51.724;;;;Up;Up;Up
2017-04-12 08:44:31.044;;;;Up;Up;Up
2017-04-12 09:20:34.409;;;;Down;Down;Down
2017-04-12 09:20:53.206;;;;;;Down
2017-04-12 11:25:23.728;;;;Up;;Up
2017-04-12 11:34:48.339;;;;Up;Up;Up
2017-04-12 11:43:25.798;;;;Down;Down;Down
2017-04-12 11:45:28.050;;;;Up;Up;Up
2017-04-12 12:27:30.023;;;;Down;Down;Down
2017-04-12 12:27:39.386;;;;;Down;
2017-04-12 21:40:53.390;;;;Down;Down;Down
2017-04-12 22:27:39.323;;;;Down;Down;Down
2017-04-12 23:41:33.333;;;;Up;Up;Up
2017-04-12 23:41:42.794;;;;Up;Up;Up
2017-04-13 06:26:01.532;;;;Down;Down;Down
2017-04-13 07:37:31.892;;;;Up;Up;Up
2017-04-13 07:37:41.358;;;;Up;Up;Up
2017-04-13 09:34:48.756;;;;Up;Up;Up
2017-04-13 09:34:58.244;;;;Up;Up;Up
2017-04-13 11:46:52.076;;;;Up;Up;Up
2017-04-13 13:03:06.797;;;;Down;Down;Down
2017-04-13 14:58:26.025;;;;Down;Down;Down
2017-04-13 16:12:01.988;;;;Down;Down;Down
2017-04-13 21:37:26.634;;;;Down;Down;Down
2017-04-14 00:04:44.082;;;;Down;;Down
2017-04-14 07:37:07.644;;;;Up;Up;Up
2017-04-15 02:01:38.638;;;;Down;Down;Down
2017-04-15 08:29:49.078;;;;Up;Up;Up
